nuvirdi;teg_eign;matssvaedi;ibm2
 25122;Íbúðareign; 72; 943
 12564;Íbúðareign; 72; 556
 15013;Íbúðareign;170; 832
 27817;Íbúðareign;140; 107
 20823;Íbúðareign;280; 812
 27148;Íbúðareign; 72; 114
 28330;Íbúðareign;130;1183
 20076;Íbúðareign;160;  74
 16023;Íbúðareign; 91; 647
 39780;Einbýlishús;120;1391
 31993;Íbúðareign;280;  86
 17182;Íbúðareign; 11; 624
 25466;Íbúðareign;270;1106
 21106;Íbúðareign;100; 843
 14820;Íbúðareign; 20; 484
 21863;Íbúðareign;180;  87
 21130;Íbúðareign; 90; 866
 16870;Íbúðareign; 20; 481
 55508;Einbýlishús;281;2261
 23886;Íbúðareign;100;1214
 18865;Íbúðareign;130; 767
 25606;Íbúðareign; 80;1106
 17380;Íbúðareign;100; 669
 23520;Íbúðareign;130; 887
 26818;Íbúðareign; 72;1064
 17962;Íbúðareign;220;  83
 16876;Íbúðareign; 25; 572
 21441;Íbúðareign;100; 968
 32397;Íbúðareign; 85;1414
 43141;Íbúðareign; 80;1543
 25973;Íbúðareign; 91;1173
 29235;Íbúðareign;283;1574
 16259;Íbúðareign; 25; 602
 23100;Íbúðareign;180;1108
 16570;Íbúðareign;170;  76
 23463;Íbúðareign;281; 775
 23750;Íbúðareign; 25; 803
 17475;Íbúðareign;170; 894
 17913;Íbúðareign;281; 812
 16499;Íbúðareign; 11; 604
 12979;Íbúðareign;281;  49
 19376;Íbúðareign; 11; 562
 17995;Íbúðareign;170;1106
 22553;Íbúðareign; 90; 688
 13500;Íbúðareign;100; 462
 34948;Íbúðareign;100;1294
  8296;Íbúðareign; 72; 267
 22476;Einbýlishús;282; 815
 22220;Íbúðareign; 90; 952
 23419;Íbúðareign;110; 874
 25894;Íbúðareign; 20; 769
 21165;Íbúðareign;130; 797
 12700;Íbúðareign;161; 507
 18868;Íbúðareign; 20;  77
 16866;Íbúðareign; 90; 531
 26428;Íbúðareign; 70; 903
 29612;Íbúðareign; 91;1384
 23384;Íbúðareign;150;  70
 18200;Íbúðareign;100;  83
 21749;Íbúðareign; 70;  69
 19688;Íbúðareign;160; 974
 21588;Íbúðareign;280; 696
 22500;Íbúðareign; 90;1096
 25761;Íbúðareign; 72; 819
 16489;Íbúðareign; 90; 535
 15143;Íbúðareign;150; 742
 17468;Íbúðareign; 72; 573
 17814;Íbúðareign;130; 795
 30191;Íbúðareign;281;1317
 18126;Íbúðareign;220; 761
 15634;Íbúðareign;200; 643
 18865;Íbúðareign;130;1019
 20750;Íbúðareign; 20;  78
  9186;Íbúðareign;150; 355
 17992;Íbúðareign; 90;  64
 25300;Íbúðareign;100; 946
 13049;Íbúðareign;100;  44
 17451;Íbúðareign;160; 806
 29541;Íbúðareign; 25; 791
 18387;Íbúðareign;200;1035
 16893;Íbúðareign; 72; 678
 25967;Íbúðareign; 20; 748
 17691;Íbúðareign; 72; 651
 20815;Íbúðareign;150; 968
 16455;Íbúðareign;160; 746
 24572;Íbúðareign;120;1071
 23784;Íbúðareign; 20; 616
 14494;Íbúðareign; 20; 374
 33654;Íbúðareign;270;1309
 12998;Íbúðareign;161; 733
 29476;Íbúðareign; 25; 931
 24269;Íbúðareign; 90; 854
 18879;Íbúðareign;150; 817
 20470;Íbúðareign; 80; 749
 17662;Íbúðareign;281; 512
 21368;Íbúðareign; 25; 594
 22448;Íbúðareign; 80; 776
 18993;Íbúðareign;100;  61
 17300;Íbúðareign;161; 891
 19986;Íbúðareign;120; 903
 18822;Íbúðareign;140; 726
 18500;Íbúðareign; 80; 741
 18215;Íbúðareign;150;1002
 16856;Íbúðareign;170; 899
 34903;Íbúðareign;100;1202
 16138;Íbúðareign;130; 646
 13157;Íbúðareign;100; 476
 42615;Einbýlishús;160;2489
 21751;Íbúðareign;100; 835
 21162;Íbúðareign;100; 925
 15325;Íbúðareign;100; 577
 22907;Íbúðareign;110; 794
 19328;Íbúðareign;100; 723
 14434;Íbúðareign;160;  80
 14260;Íbúðareign;100; 414
 20996;Íbúðareign;283;1065
 43166;Íbúðareign; 91;1508
 18477;Íbúðareign;200; 927
 22275;Íbúðareign; 20; 809
 10103;Íbúðareign;220;  31
 28883;Íbúðareign;100; 113
 30417;Íbúðareign;180;1231
 21486;Íbúðareign;100;  82
 22281;Íbúðareign;120;1004
 26973;Íbúðareign;130; 957
 14313;Íbúðareign;100;  50
 18598;Íbúðareign;130; 819
 14928;Íbúðareign;150; 766
 12196;Íbúðareign;160; 577
 18365;Íbúðareign;130; 808
 17469;Íbúðareign; 90; 746
 32987;Íbúðareign;100;1009
 26649;Íbúðareign; 80;1125
 14229;Íbúðareign; 80; 536
 25350;Íbúðareign; 72; 105
 70163;Einbýlishús;220; 297
 14405;Íbúðareign;100; 619
 21701;Íbúðareign;161; 902
 11989;Íbúðareign;160; 437
 20000;Íbúðareign;100;  90
 17284;Íbúðareign; 20; 519
 27298;Íbúðareign;100; 801
 35793;Íbúðareign;280;1138
 54346;Íbúðareign; 25;1154
 22220;Íbúðareign;100; 947
 30794;Íbúðareign; 90;1045
 11370;Íbúðareign;161; 577
 28590;Íbúðareign; 20;1009
 22642;Íbúðareign; 70; 907
 19751;Íbúðareign;150;1141
 33944;Íbúðareign; 85; 100
 14359;Íbúðareign;160; 546
 13891;Íbúðareign;100; 709
 24290;Íbúðareign; 20;  89
 30687;Íbúðareign; 20; 851
 22673;Íbúðareign;120;1054
 16918;Íbúðareign;120; 701
 16120;Íbúðareign;170; 953
 28972;Íbúðareign;130;1007
 27000;Íbúðareign; 72; 696
 21500;Íbúðareign;161; 947
 39479;Íbúðareign;283;1337
 21381;Íbúðareign; 72;  69
 16298;Íbúðareign;200; 827
 16898;Íbúðareign; 11; 484
 16494;Íbúðareign; 20; 532
 15034;Íbúðareign;160; 627
 13608;Íbúðareign; 80; 599
 17408;Íbúðareign; 80;1036
 42522;Íbúðareign; 85;1412
 25979;Íbúðareign;120;1129
 18775;Íbúðareign;130; 932
 20286;Einbýlishús; 20; 115
 11344;Íbúðareign;220; 548
 14380;Íbúðareign;220; 548
 22360;Íbúðareign;100; 849
 22872;Íbúðareign; 72; 838
  7262;Einbýlishús;100;  36
 53880;Einbýlishús;120;1773
 14889;Íbúðareign;100; 689
 66869;Einbýlishús;283; 270
 23348;Íbúðareign; 20; 596
 18989;Íbúðareign;160;  95
 15939;Íbúðareign;160; 807
 25209;Íbúðareign;100;  88
 18649;Íbúðareign;100; 717
 16167;Íbúðareign;283; 626
 12796;Íbúðareign; 20; 432
 12397;Íbúðareign;100; 449
 24369;Íbúðareign;180;1114
 27635;Íbúðareign; 20;1011
 66507;Einbýlishús;220; 296
 66836;Íbúðareign; 70;1837
 17021;Íbúðareign;150;  82
 45389;Einbýlishús;120;1745
 24179;Íbúðareign;130; 973
 19398;Íbúðareign;120; 956
 25978;Íbúðareign;150;  70
 17996;Íbúðareign; 85; 686
 21454;Íbúðareign;200;1027
 13129;Íbúðareign; 91; 434
 21175;Íbúðareign;100; 856
 16836;Íbúðareign;160; 853
 21233;Íbúðareign; 90; 591
 30572;Íbúðareign; 80;1067
 18371;Íbúðareign;170; 976
 16972;Íbúðareign;160; 552
 21083;Íbúðareign;130; 844
 20921;Íbúðareign;130; 813
 22344;Íbúðareign; 11; 784
 13197;Íbúðareign;150; 588
